	clean_tweet	class
4921	 bird school 	2
4922	 rebel next rip mattress tag slipperi slope 	2
4923	 caus would tip hand instead whine like littl bitch gt 	1
4924	 nope btw hoe lo	1
4925	 oh well turn babi aint mine jig 	2
4926	 yesterday twitter tell dude  pussi best faith 	1
4927	 look funni like obama say good economi hipster faggot funni though	1
4928	 pussi	1
4929	  haha #thinkingofyou #dirtylove sexxi bitch 	1
4930	 aww u mad tho success man lmfao hut hug faggot 	0
4931	 gotta shout u bad bitch u bad bitch # 	1
4932	 boooooooo trash	2
4933	 favor ball throw trash 	2
4934	 whatev lol tan line retard lol tweet subtweet	1
4935	 real quiet son made charli shit steeler loser 	1
4936	 like ur dome #smart	2
4937	 #live version #pulledpork #clams #babyjesus #lilsmokey	2
4938	 pitch chip slide ur dick tight clam # love #mywife	1
4939	 earli beard man get clam #herkfacts	2
4940	 haha littl shit talkier brought bitch	1
4941	 bitch go shoot ball paint ole hobbi find ass	1
4942	 lol autocorrect bitch voic recognit much faster type 	1
4943	 fuck fat bitch consid threesom 	1
4944	 love swear love right btw bitch better googl lyric mine lt 	1
4945	 true bitch two account 	1
4946	 also like flip bitch gabbi #qualitywords	1
4947	 know hoe 	1
4948	 asshol amp like neck problem amp sleep way # u lil bitch	1
4949	 bitch uggo fuck	1
4950	 hoe ass savag shit bring memori cook g 	1
4951	 big bird big pecker alway mad caus get laid mother 	1
4952	 mayb call hooti back answer anymor still crow 	2
4953	 gotta get superbowl shirt cleaner hit big bird 	2
4954	 beaner drive em 	1
4955	 best fuss basement bitch like skate rink 	1
4956	 faggot kbye 	0
4957	 thirsti hoe lo	1
4958	 type put bitch river gtf locat lo	1
4959	 peopl like give us bad name disgust piec shit person nigger	0
4960	 dude fuck mono suck bed trash	1
4961	 that nate dumbass mock	1
4962	 sauerkraut saul punk ass bitch	1
4963	 us payback bitch hahaha lt  happi valentin day though 	1
4964	 good one fuck bitch ass	1
4965	 gonna chase club like mobb deep pussi 	1
4966	 explain caus bitch whine 	1
4967	 lmao dumb hoe budden made popular pleas stop irrelev one care slut 	1
4968	 # # # # pot gold ass nigguh	1
4969	 cat pussi black bore kid kill cop start fire outrag phoni 	1
4970	 word bird	2
4971	 think reconsid littl bitch one true god almighti cthulhu pleas soul seani 	1
4972	 quit pussi call first last name plu ssn ya poon 	1
4973	 subtweet use hashtag oomf differ p jk jerkin yo dick ya nigger faggot 	1
4974	 would help other handl upper crippl plu moder taken consider bad	2
4975	 hoe clean 	2
4976	 celebr poor bitch	1
4977	 gator bait # # 	2
4978	 ha welcom washington state nashvil serpa straight trash 	2
4979	 problem love bad bitch 	1
4980	 vegetarian pussi	1
4981	 bitch	1
4982	 bitch yo muthafukin ass react vain femal tweet amp dont context dumb ass dont neither	1
4983	 say shit face bruh bitch gettin man u dont know busi handl yo shit	0
4984	 stop cover yo goddamn face like kkk yo yung silli ass co sign pussi 	1
4985	 shit euro would call typic american fat fuck goe eat fast food time dumb bitch 	1
4986	 pussi	1
4987	 fuck pussi	1
4988	 rather ask nappi head hoe grandma well asham famili 	1
4989	 nappi head hoe call anyon ugli stop embarrass pl	1
4990	 fuck annoy hoe like omg relationship goal like close leg get dress someth 	1
4991	 pussi without gun bitch spic daddi even respect sperm drop mom stank pussi	0
4992	 yanke like florida state floridian 	2
4993	 yass bitch yass # # # 	1
4994	 momma saw girl danc like # grandma like shake ass hoe 	1
4995	 oh u dog show hoe love u ya ol ladi	1
4996	 yal bitch need stock jello fix yal broke ass person # 	1
4997	 rip plate browni larg tea fri bean potato salad poboy	2
4998	 hipster friend ugli fuck yo pussi sta	1
4999	 straight bench #ned #worldcup	2
5000	 come rescu retard lick dirti skidmark internet guy fucktard	0
5001	 rather ultra fag get  act go fgcu #zing	1
5002	 littl punk send ass iraq week littl bitch would come home amp kiss ground 	1
5003	 taylor wack ass bitch nigga	1
5004	 vegeta littl bitch #teamgoku	1
5005	 hoe	1
5006	 yanke game radio good announc 	2
5007	 yanke fan look back gari sheffield time team 	2
5008	 met fan tri tell rivera best yanke time closer wtf	2
5009	 glad di color man can soyvic fo da white	1
5010	 yellow sorri	2
5011	 yay im whitey 	2
5012	 nfl forgetabout got februari pennant race let go yank 	2
5013	 drink much shitti canadian hoser beer #eh	1
5014	 would expect noth less dominion oh way sec bitch 	1
5015	 wild nog even checken op twitter hoe het ging maar zo n heftig wond niet verwacht heftig sterkt amp beterschap hoor 	1
5016	 ill scream franc tom #iu #iubb #hoosiers #creanandcrimso	2
5017	 bitch	1
5018	   bc titl  mil revenu great redneck confer ohio 	2
5019	 come queer	1
5020	 hey fag gag clappmeat	1
5021	 toung punch smelli turtl pussi	1
5022	 bitch lo	1
5023	 fuck look like shop trash ass store	1
5024	 pussi pussi pussi marijauna wannnnaaa	1
5025	 lol feel like punk bitch sittin light # 	1
5026	 republican teabagg jail treason 	2
5027	 faggot public spectacl gay fag public display get public opinion 	1
5028	 bitch shit hoe trick #thuglife	1
5029	 yeah internet def taught bitch twerk talkin bout vote 	1
5030	 actual non english #okiecops filthi white trash crimin 	0
5031	 make game last season look astro open yanke st apr	2
5032	 thought would like caus chi yeah faggot	0
5033	 tolif fag got press ground hang cleat n never put back think	2
5034	 unfollow think shit use follow train gain unfollow caus pussi	1
5035	 bitch brain damag	1
5036	 bitch	1
5037	 bitch fuck	1
5038	 lmao take thru quavo shit make hook offset da  solid kno nicca tellin dat	1
5039	 # # # # # # # # hoe like   	1
5040	 bitch tweet answer 	1
5041	 ayyyyyyeeeee nigga back bitch	1
5042	 mite hit rec know cell marcu jax gone tri hit hoe	1
5043	 help man nigga pussi rob chick shootin 	1
5044	 way rap fuck bitch amp banter money entertain crazi 	1
5045	 swear de hoe make challeng	1
5046	 tri one pom pomegran juic n swear tast like flavor piss dont ask lo	1
5047	 shut yo hoe ass	1
5048	 lol  one old bitch # 	1
5049	 gonn comment caus closet hoe lol #team #getchoassoutdatcloset lo	1
5050	 aight bet bitch	1
5051	 noth say fashion like cunt hat 	1
5052	 bitch	1
5053	 look like gonna blow someon fag	1
5054	 thisti hoe	1
5055	 yup pickin white bitch bare like chicken leg	1
5056	 accid lmfao hoe trynna lowkey slick 	1
5057	 thu term redneck also creator mock good excel precept daughter 	1
5058	 # entir pat bandwagon # faggot	0
5059	 told u ugli nigga get bitch young promis u work ya magic lo	1
5060	 good job tonight need eat cracker stop throw 	2
5061	 your fuck loudmouth ignor redneck fuck still tryin suck dick cant dumbfuck short 	1
5062	 got bitch name banana pussi banana swear gotta say pussi banana lil cool azz bitch da westsid	1
5063	 fuck pussi made mistak start cj spiller chri ivori week fuc	1
5064	 tylar shut bitch usta make	1
5065	 bet hoe	1
5066	 ion sneak diss broke bitch # # 	1
5067	 ah lien ass hoe	1
5068	 hey leav abbey oh get job slope might move back caus id lose lot money buy ticket	2
5069	 stripper sexi hoe follow man 	1
5070	 hous bitch	1
5071	 eat yo pickl bitch 	1
5072	 studi show faggot	0
5073	 nope super chocolatey yummi browni 	2
5074	 puto bitch spanish 	1
5075	 mutha fuckah better bring browni ever 	1
5076	 ignor faggot c	1
5077	 trash 	2
5078	 shame mama teach call women bitch well fortun guess 	1
5079	 shut faggot ra need make album togeth ra fell cont 	1
5080	 man bitch denial # # # 	1
5081	 piss male judg femal pussi gone judg get mad deni loos gap 	1
5082	 marxist kike promot anti semit creat film incent promot enemi 	2
5083	 young base god olymp stay fuckin bitch	1
5084	 updat pretti much broke g made absolut annoy retard 	1
5085	 ie make hoe housewif	1
5086	 bitch whatev nigga u scare play	1
5087	 give hillbilli audienc squander everi time 	1
5088	 faggot drive stic	0
5089	 lol bitch yo display name	1
5090	 go jerk lolli faggot 	0
5091	 smh wrong wit u ho	1
5092	 yea live guess still got roof fix charli jeann 	2
5093	 fuck hoe ask paco	1
5094	 want fuck steve bitch lmao	1
5095	 lightweight heavyweight matter still knock bitch # # # 	1
5096	 haha monkey feet like  real feet magic back smooth everi nook cranni tight 	2
5097	 cunt	0
5098	 vinc gener feel nativ know regard term redskin offens 	1
5099	 kill coon 	0
5100	 cunt need hand cut 	1
5101	 dont rais ur hand niggah	1
5102	 niggah niggah lol # 	1
5103	 problem niggah # 	1
5104	 good niggah lo	1
5105	 wassup niggah	1
5106	 # bird one god creatur 	2
5107	 call bitch	1
5108	 eat shit work nappi bitch 	1
5109	 might realli sure weird littl bird said might possibl stay tune mayb 	2
5110	 bird feather stand peta stand saniti 	2
5111	 everyth jay z write trash 	2
5112	 normal would say must great pussi sinc seen true idk 	1
5113	 destini make titanfal bitch	1
5114	 yeah better play ya nigger	0
5115	 id chink left blue ball	1
5116	 cold go around littl hick town everyon know lock hous better week stay	2
5117	 read w slant orig statement said everyth extrem comment made	2
5118	 godli u fuckin redneck peckerwood 	1
5119	 yaaaasssss buhlowin timelin negro # 	1
5120	 fuck store bitch	0
5121	 infer tri ho nam dodg great leader 	2
5122	 peak war w join texa natl guard get outta nam fact bitch 	1
5123	 lol bitch nigga ima get gay homi	1
5124	 ashirieelov bitch 	1
5125	 that trash ot 	1
5126	 btw jim crow law support democrat republican mlk republican #fact	2
5127	 ye da def da problem teacher spear chucker woulda gt dose rite	2
5128	 support illeg come spread diseas among american dream bitch 	0
5129	 judg appoint obama doesnt see agenda fuck crook bitch	1
5130	 hey windi dildo take trash buzzzzz	1
5131	 msnbc msm said block flight africa racist yea right id vote bitch gold digger	1
5132	  second add ruin new low pick crippl	2
5133	 say pedophil promot dolt lmao #teabagger	1
5134	 faggot	1
5135	 note say stop bitch flower lt  get em everytim	1
5136	 money car cloth hoe lol want success lo	1
5137	 bullshit bitch show lana kane 	1
5138	 # # # # look shit imma bitch forreal # # 	1
5139	 remind yall cuz hoe act like know	1
5140	 much hoe 	1
5141	 rt  steal bitch	1
5142	 sum bitch look good man pick one 	1
5143	  faggot like  side state 	0
5144	 nigga spun around pussi 	1
5145	 mental flame fag seriou mental issu	1
5146	 fight bitch 	1
5147	 feel warm fuzzi 	2
5148	 accord place kitchen excus take trash	2
5149	 trash meant u lmaooo	2
5150	 real shit bro yo hoe told smoothi king straw ca fuc	1
5151	 yu forgot beat yall that like garbag man call janitor trash	2
5152	 bitch coulda store look	1
5153	 tranni dragon eh know peopl love 	2
5154	 whatchu doin today nig 	1
5155	 wud nig gotta new number  text	1
5156	 teas dick faggot	1
5157	 bitch call miss dic	1
5158	 fuck outta faggot even fair	0
5159	 lmaoo typic nig nog bomb got pic	1
5160	 bitch pleas 	1
5161	 use word faggot 	1
5162	 # bitch got fuck # # 	1
5163	 # bitch alway hatin lmao	1
5164	 cuz thought got wife pick hoe im lovin song man keep come	1
5165	 stfu bitch	1
5166	 could get half band fella # dope femal follow state much # pay pussi	1
5167	 thought retard	1
5168	 hear dumb bitch said one like #ohshitnigga	1
5169	 bitch want	1
5170	 glad could get daili dose giggl faggot	1
5171	 hey faggot spell faggot right dipshit	1
5172	 shut fuck fag ill beat shit outta	0
5173	 yeah nigga get bitch matt fuck gay shit	1
5174	 fake bitch meet school nigga	1
5175	 caus ima blindsid shit outta niggah 	1
5176	 fuck bitch smd	1
5177	 haha bitch	1
5178	 insecur much put insult one tweet fuck dumbass dude wreck faggot	0
5179	 smokin cali smoke fuckin bitch wbu	1
5180	 shut niglet	1
5181	 sun follow  bitch shit stfu faggot	1
5182	 learn read bitch	1
5183	 think bitch	1
5184	 # # # # beani steal descript u salti fake	2
5185	 lol probabl right fuck bitch spanish 	1
5186	 alway want speak ppl convers twitter alway look like bitch idk real life smh	1
5187	 rememb dick lol want recommend shoot bitch show might snap	1
5188	 boom bitch 	1
5189	 hate bird piss fact fli 	2
5190	 like tweet like wen yu aint talk yo hoe like ill wait 	1
5191	 tire dat bitch mannn # # # 	1
5192	 great qb fold pressur gshit u blitz peyton ass gon gook	1
5193	 alway white bitch someth op lol like give zero fuck come dick # # 	1
5194	 white bitch g choppin whole line nigga # # 	1
5195	 ima miss smiley graham daniel tho pretti cool ima beat andrew bitch ass everi day	1
5196	 haha say damn call bad bitch mean mean bitch lmfao	1
5197	 quit use song lyric queer	1
5198	 janemba better yo pussi ass	1
5199	 bitch til thursday	1
5200	 daggon twin kick notch time beat yanke 	2
5201	 good thing season #firecashman 	2
5202	 score matter spring train man 	2
5203	 fell asleep 	2
5204	 go away alreadi 	2
5205	 kind say #braves make world seri lol	2
5206	 probabl time put twitter feed bed #nyy	2
5207	 team suck	2
5208	 ugh	2
5209	 pussi watch nuh mi neva lov mon badmo	1
5210	 way hoe boo	1
5211	 whatev neymar trash	2
5212	 hate faggot corni	0
5213	 mannn mexican houston love high school freshman hoe	1
5214	 yeah peopl know trash game limit show late game portland	2
5215	 way take order like littl bitch bitch	1
5216	 home coo	2
5217	 bitch better watch run tabl tonight # # # # 	1
5218	 hey send song need put hoe cd bang em ride around	1
5219	 want pom back lmfao	2
5220	 born yellow	2
5221	 agre never know may beg get drop make pussi wet guarante marri right 	1
5222	 hahaha made ya eat crow 	2
5223	 crazi wayn rap pussi  song row	1
5224	 lol girrrrl bitch crazzzzi	1
5225	 got feelin like #trappin dead got readi call #guala #salute da truth #seenitall #seenitalltheautobiography	2
5226	 nahh bitch yu alway playn yu almost got feel hurt	1
5227	 fuck da wat bitch wit uh fuckd mouf # # 	1
5228	 wish wood like tree bitch 	1
5229	 wish wood like tree bitch	1
5230	 gay fag	0
5231	 like tree bitch asshat 	1
5232	 # bitch alreadi got past demon seed gone fuse 	1
5233	 # nicca fucc yu	1
5234	 lol send dat nicca clean talmbout n realli # # # 	1
5235	 said pussi dat ass yo tongu boy	1
5236	 lol da reason talk bout da present cuz nicca hurt n play yr	1
5237	 yearsahaitian need start mcbob william shoot let play bird	2
5238	 everybodi dot mob red mickey factz battl clip wore ancient hong kong shit  differ color hi top	1
5239	 lifestyl raw dog one magnum put dickhead hole cumin pussi lip	1
5240	 hoe meter went 	1
5241	 shit ill pay premium get away anyth ass hoe	0
5242	 bitch	1
5243	 swear god log later post score everi social network bitch ass nigga	1
5244	 nah pussi	1
5245	 sup fat bitch	1
5246	 someon told cuz ppl like use bitch femal like call femal meh shrug 	1
5247	 one sick bitch	1
5248	 littl girl tom sawyer get trap cave along injun joe almost die injun joe die find treasur	2
5249	 take bitch reciev head mom	1
5250	 fasho fasho hurri ya ass nicca	1
5251	 # # # # # wow love call slut realli ever cheat girl bitch dumb 	1
5252	 thirsti hoe # 	1
5253	 got cold white hoe knoxvil tho right strip boaaa	1
5254	 call peopl kike lot fuck	1
5255	 thirsti hoe	1
5256	 pussi	1
5257	 lol cracker	1
5258	 like pussi would asham	1
5259	 photoshop put head fag proof 	1
5260	 fuck r u talk told u go tell u nigga love white bitch gtf bro	0
5261	 #yeet gotta least  drop bitch like  month interv shit	1
5262	 emanimilan ju tryn figur dem nicca togeth like dat	1
5263	 finger throb pussi flap	1
5264	 bitch tryna get free promot n shit lmaooo see tha cut	1
5265	 eat bitch	1
5266	 meet eat bitch	1
5267	 meet molli whoop yo bitch ass	1
5268	 naw nigga em hand happen shit talk coupl month ago eat bitch	1
5269	 kati clear lake hoe	1
5270	 # # # # # # # # # # # # # # # # # # # # # # # suppos attract bitch tutu though # 	1
5271	 gonna get dem bitch # 	1
5272	 fag	0
5273	 classic drunk carter text never fail hey stfu come oop come fuck outsid bitch	1
5274	 fag	0
5275	 bitch	1
5276	 kkz lol bitch indian op	1
5277	 ali babi well least go somth bitch even wrong thing # 	1
5278	 andrizzi aw drake sit corner cri listen lmfao pussi dick rider drake cock tast faggot 	0
5279	 andsss cool cool fuck wit u nicca	1
5280	 angeel thirsti ass hoe go sleep # # 	1
5281	 bdoe bro u trash zombi	2
5282	 b r c e happen go fish bitch 	1
5283	 bada bing continu turn pussi lo	1
5284	 batgangbitchh hoe	1
5285	 beautifulkeezi point ppint bitch # # # # 	1
5286	 beautifulkeezi bitch die read 	1
5287	 beautifulkeezi bitch wea go 	1
5288	 beautifulkeezi lmfao bitch talk # # 	1
5289	 beautifulkeezi yess bitch messyyi	1
5290	 beverlynohil bitch hold real nigga fa long # # # bruh ask mama pay ticket fa 	1
5291	 beverlynohil fuck nasti got held wrong pussi tell bet ever kiss break w u 	1
5292	 bradleyc skate  trash skate  goat dlc	2
5293	 brwnskinbeaut ahh much bitch live campu get lazi want drive home 	1
5294	 c parri pictur make look like seriou fag #justsayin lo	0
5295	 calistrong lol possibl hoe treat right way love right way hoe hoe 	1
5296	 calistrong lol think right way amp wrong way love someon hoe may love got 	1
5297	 charliea  littl punk ass bitch doe	1
5298	 corayma tf look like deliveri bitch ahaha	1
5299	 dcornoth got tire hear eat pussi   way like damn # # 	1
5300	 dracheoffici tri alway hit alt f eat mega stuf oreo figur program lo	2
5301	 dbankss orr tht lor bae tho wyd u fuck hoe 	1
5302	 dingyyybritt look said ll new era girl bye kill bitch w kind amp amp wht cousin 	1
5303	 djweezlov said want dj mix track regardless use video gon dumb retard reg ver	1
5304	 dreamchas aint nobodi got time fo dat ghetto black ladi voic 	1
5305	 dukefan that  regular season loss #you #are #retarded	1
5306	 eb game fuck hoe lo	1
5307	 elenaraquel swag bitch aha	1
5308	 goldwhippp faggot old peopl peopl drive drunk peopl	0
5309	 iamken fuck brett farv redneck ass stuckup give damn lol campu act like shit	0
5310	 iamken make team nigga trash lo	0
5311	 iamdriven even sure bro im ignor hurt bitch tonight lo	1
5312	 iamquinichol # # # song ion kno refer futur wife bitch	1
5313	 inhalelov bitch love alex target # 	1
5314	 jaelynbeee somebodi look like die first tube flappi bird lol 	2
5315	 jame kirbi back ya queer bag	1
5316	 kaeejon gotta find know cali got hoe	1
5317	 kaeejon lmaooo boy thought ws type right spell hoe	1
5318	 kaeejon bird gone run ass	1
5319	 lakerslif traci morgan sad comparison come tri dwight howard accur stupid monkey 	2
5320	 leeyoo niggah yo lil bro fuc	1
5321	 leeyoo niggah	1
5322	 lezzzbehonest color suppos good influenc	1
5323	 lezzzbehonest bitch 	1
5324	 lifeofsin theeepp bitch	1
5325	 linsan derrrrrrr st song actual good compar trash she showman omg	2
5326	 lranderson hoe	1
5327	 maniac mind stfu gonna fuck oh pussi ad nigga	1
5328	 maniac mind bitch u one steadi talk stfu bout shit hoe ass nigga	1
5329	 maniac mind said stop put word mouth someth bitch would	1
5330	 maniac mind got beef tell yo boy alex stop act like bitch bring duck ass 	1
5331	 mariapetrova ok right wing teabagg gun nut like harri hell even fuck cop 	1
5332	 marzzz nigger	1
5333	 mckenzienoel miss bitch	1
5334	 mostdop jenni say evil bitch 	1
5335	 nadiaxo fag	0
5336	 nolackingg kinda figur lil bit u said bitch u cute	1
5337	 prawda die oh bitch exit mention last era huge # album # tour golden globe cont 	1
5338	 perarl bitch thick bitch ass tv want	1
5339	 perarl need date grandma turnt lil pussi ass bro call lil babi name like lame amp dor	1
5340	 rachel robbin realest bitch rt	1
5341	 renaissancejay send box droid da mile nigga got da dro droid na drum fo pussi boy yeer 	1
5342	 renaissancejay get loredo steak dat bitch u ba	1
5343	 renaissancejay nigga stop hatin bitch feelin coolio b n two u think dem bitch made nigga got yo back u smokin big worm shit	1
5344	 renaissancejay pussi	1
5345	 reneashac hoe yu erbodi bitch # # 	1
5346	 richhomiekevin go sleep niggah lo	1
5347	 saltlif lol chill pussi	1
5348	 saltlif long stori lol miss faggot	1
5349	 sincer lmao hoe extra sensit via text swear hear tone everi letter start use punctuat 	1
5350	 soulsurvivor dont problem zak seem like faggot 	0
5351	 sparklelikezen save browni 	2
5352	 squeezemebabi tell dumb hoe	1
5353	 starrhal absolut speechless bitch crazi 	1
5354	 tajmah el padrino lmao fa real cuz realli saw throw dat bitch circl lo	1
5355	 vibe bitch gretchen weiner want	1
5356	 theblacknerd wyd fag	1
5357	 thecrownedhead # # # # # bitch	1
5358	 triggapleas faggot	0
5359	 triggapleas nigger hello 	1
5360	 turndowndr true idk even convo dumb nigger attent whore	0
5361	 turndowndr smell fri chicken ass mile away boi clean nasti ass ear ratchet bitch	1
5362	 turndowndr lmao stupid nigger	0
5363	 vivmmxii yuhh finna hit hoe # # 	1
5364	 wordtothewis mani time listen pussi song today 	1
5365	 wordtothewis hoe shit	1
5366	 wordtothewis must sent bird call get shit	1
5367	 xoxokelsey hell naw fuck bitch serv right	0
5368	 ydotm realli thou im look like hulk hogan bitch	1
5369	 utcast said oh nah ur dude get heartless bitch met	1
5370	 black jesu bitch u know mean spell champ nut	1
5371	 black jesu yea forgot talkin degener faggot	0
5372	 c h n g daughter date littl fag bag 	1
5373	 dattootiegurl hoe coo	1
5374	 dutch bitch stop hate immacul suit 	1
5375	 dutch birthday hath alreadi pass littl fanfar enjoy day bless bitch 	1
5376	 motomoto real bitch	1
5377	 nikesnshit better ima let bitch slide right standbi # # 	1
5378	 taesavag pussi	1
5379	 trail take like tamu bitch jump  beat sc good 	1
5380	 asiaj lol bro said bitch u	1
5381	  faggot	0
5382	 kd need  bitch	1
5383	 angieex ik pussi	1
5384	 baabyshaay okaaaaay bitch never care edg still laid # 	1
5385	 hannerr faggot	0
5386	 kiant im askin negro lo	1
5387	 ajayb cri im bitch piss cop tri charg hole bunch bullshit p	1
5388	 angelaaau hey fag lt 	0
5389	 asheyk pussi	1
5390	 bradleey lmfaoooo yooo lost elev pass # # even share bitch want go get anoth one # even tho know	1
5391	 bradleey # like bitch struggl use stair let ppl get # 	1
5392	 cblaze man bitch gonna damn thang u like got say unfollow	0
5393	 cblaze ask boy jason keiffer still tryna get one one block #pussy boy	1
5394	 cblaze sorri eat pussi	1
5395	 chrisbrownn fuck bitch get money	1
5396	 dimejii know samklef said lie man guy think beast naija pop music trash wizkid	2
5397	 dinora e jk would bitch got done 	1
5398	 elennamichel nope stuck hous full fuck nigger help escap # 	0
5399	 elennamichel ur around # gotta keep dat scent keep filthi nigger away	1
5400	 fckwatchuthink know could go drink bleach bitch	1
5401	 fullawhit haha nigga coco wait fuckkk like hunna hoe summer haha j	1
5402	 fullawhit rt wey went job interview high bitch straight stank like dank haha eye red hoe	1
5403	 igoth bitch dont talk like bro 	1
5404	 icantmiss boy still got bird cage lo	2
5405	 icantmiss send hoe # # 	1
5406	 illionair take hoe lo	1
5407	 jeff hank shut nigger	0
5408	 justlexi lol whatev fag 	1
5409	 lexisperez ate pussi could 	1
5410	 littlepuffin saw bad bitch mf switzerland feel love	1
5411	 littlepuffin hoe 	1
5412	 lostbi meant bitch scum	1
5413	 lostbi bitch boy 	1
5414	 lostbi bitch w dic	1
5415	 lynnogawa bitch	1
5416	 michellecol nice hoodi faggot	1
5417	 nk nak statu report make pit stop canada rape bitch	0
5418	 nowashington like hoe	1
5419	 nowashington hoe like	1
5420	 puderbaugh bitch get two 	1
5421	 queenveronica haha yolo ya hit hoe 	1
5422	 reathi man bring yo bitch ass ion give dam bout yo mf attitud	1
5423	 reathi u better sit yo ass bitch til 	1
5424	 shegotthi yellow rice black bean pork chop si	2
5425	 spenceyi so scanger	2
5426	 tee spread filth ur white dog amp good ol boy ltao fuckin monkey	1
5427	 tee u  lost puppi dont know shit leav nigger alon u learn someth besid like	1
5428	 tee let one dingi real nigger dog catch miss torah dont want thot shit	1
5429	 thedariu bitch get job first 	1
5430	 thedariu bitch look shit 	1
5431	 thedariu bitch 	1
5432	 thedariu boy clean bitch 	1
5433	 thecrav funni tweet ashi nigger	1
5434	 tiffanycart bitch im mad slap # 	1
5435	 tiffnasti bitch great valuabl pussi alway make use protect mani nasti dick nigga	1
5436	 tiffnasti nigga didnt desrv bitch first place	1
5437	 tiffnasti ye love make em masturb voic bitch love southern accent	1
5438	 tonzz life aint shit bitch money pass weed like studi	1
5439	 tonydenni trash ik want fuck dorsey	1
5440	 travvv pussi 	1
5441	 turtl gang let fuck hawt bitch foam glow # 	1
5442	 westwest yall woohoo new black kill cracker babi panther rescu #racist #trash #thugs #ferguson #fergusonriot	0
5443	 womanoverboard nigger 	0
5444	 wordtothewis hurt im wtf fuck daniel bitch	1
5445	 xpriceless bitch get punch tf lo	1
5446	 xpriceless bitch u got fuck	1
5447	 xpriceless bitch take dat shit imediatli	1
5448	 xpriceless bitch u forcin talkin famili shit watch	1
5449	 xpriceless bitch u got fuck go suck lil action whamm like u alway thursday friday think ik u	1
5450	 xpriceless correct bitch yo illiter ass wanna eat pussi got center street boy dat u suck nun major	1
5451	 xpriceless naw fuck u bitch go suck cartier	1
5452	 xpriceless ok bitch damn even tierd phone die	1
5453	 xxsarafina haha hoe go hard rt	1
5454	 bitch purpl short aqua beat	1
5455	 happi birthday bad bitch	1
5456	 knowww righttt even know use shit updat statu hoe 	1
5457	 im  n hate elissa fake ass cunt	1
5458	 oh shut mouth talkin morn fag	0
5459	 fuck retard drink tonight 	1
5460	 whoop ass turnin pussi	1
5461	 haha bitch team # 	1
5462	 x nation fuck raptor fun tranni fail k mile	1
5463	 come guy whose sole qualif cm lucki sperm 	2
5464	 unless bitch word awesom wrong	1
5465	 actual boy right dorki ass mom amp dad watch streit make bitch	1
5466	 houston top five ahl attend aero transplant snow bird would love team 	2
5467	 man fuck bitch 	1
5468	 right # # okay bitch	1
5469	 littl bitch emot cuz feel 	1
5470	 want either suck pig ars muzzi biotch get phuck go back hellhol life 	1
5471	 like bitch better chill oh hey maria # # # 	1
5472	 shit wish social accept beat bitch ass lmao	1
5473	 alaska noth go noth noth bitch law	1
5474	 obispo ho big	2
5475	 alreadi know mane sinc th grade killin hoe	1
5476	 never happen much republican redneck oil money sad butt true #corruptamerica	1
5477	 nope term use mock teabagg scum like three better luck next time pal 	1
5478	 go air bad air next browni	2
5479	 bitch probabl deserv lo	1
5480	 fellow anarchist quit vagina p like jr high bitch	1
5481	 small man syndrom usual deep huge pussi join author compens weak ego	1
5482	 pussi	1
5483	 laugh hoe # 	1
5484	 check cash corner el cajon calwood across steer pollo loco	2
5485	 naw dude wish white trash	0
5486	 wat faggot	1
5487	 run pussi	1
5488	 thought sheeba sheeba got ass lookin like zebra 	1
5489	 ya damn right nigglet	1
5490	 leav dyke	0
5491	 stfu your pussi sit ass nois	1
5492	 death attent hoe	1
5493	 ill give tip bewar ugli bird hide behind massiv lens sunni 	2
5494	 wow like  year late bitch	1
5495	 pussi	1
5496	 yo fag roja	1
5497	 sit talk u would gonna someth bitch	1
5498	 bitch 	1
5499	 idk went school like week ago bitch gave paper shit tell class paid	1
5500	 that wassup u got bitch send booti pic tho lo	1
5501	 make yo bitch open leg 	1
5502	 tweet text back ok fag	1
5503	 qb season trash brought veteran could someon play	2
5504	 liter retard drop head 	1
5505	 say wast draft pick manziel mallet tell delet account retard	0
5506	 fag back	1
5507	 probabl yeah account person handl though wear yellow suit put point 	2
5508	 hung dude fuckin bitch 	1
5509	 fuck cop fuck tarah bitch elong nose shape like hors dick 	1
5510	 cri still even talk even though supposedli shadi bitch confront lo	1
5511	 faggot	0
5512	 give cloth look like cute dyke	0
5513	 chink eye 	0
5514	 trueee wait til day bitch tri 	1
5515	 sound like prenup gonna cash appar ghetto credit magin 	1
5516	 christian keep laugh fuck u instead pussi bitch	1
5517	   amp tri beat much weaker creepi ass cracker dead zimmerman woman 	1
5518	 funni read retard liber tweet anand u delet salwar tweet anyway say hi #digvijaysingh	1
5519	 sick self serv politician stand bo trash america #wearerepublicnotregime #impeachobama	2
5520	 ye sorri grant bitch go ignor like libtard ignor major voic 	1
5521	 still gonna smack fuck tri act hard twitter haha pussi ass nigga	1
5522	 reason give ahv fuck catalog bitch arcad game fire 	1
5523	 yall aint gon get stitch pussi 	1
5524	 oh yea lo aka mr bitch lmao	1
5525	 lol ya need sum beacg bod ab pussi boy	1
5526	 get twitter fag	1
5527	 ugli white bitch	1
5528	 agre  natur citizenship anchor babi amnesti go parent countri origin 	2
5529	 gotta keep fight bro thea hoe tri bring #thestrugle	1
5530	 may jump u ball less dick wad conserv feminist disabl vet bitch wish u luck capit f 	0
